TableName	Actflag	Created	Changed	BochgID	RelEventID	SecID	ISIN	EffectiveDate	OldOutValue	NewOutValue	EventType	OldOutDate	NewOutDate	Notes
BOCHG	I	2011/12/20	2011/12/20	460923		714604	JP1050621711	2011/12/20	2657977.00000		REDEM	2009/10/19	2011/12/20	
BOCHG	I	2009/11/09	2009/11/09	193895		714607	JP1050631736	2007/03/27	1999.16500	2000.00000	CLEAN	2007/03/26	2007/04/25	
BOCHG	I	2009/11/09	2009/11/09	193911		714607	JP1050631736	2007/03/28	2000.00000	1999165.00000	CLEAN	2007/04/25	2007/03/26	
BOCHG	D	2010/09/28	2012/01/18	302578		714607	JP1050631736	2010/06/30	1999165.00000	7214800.00000	CORR	2007/03/26	2010/06/30	
BOCHG	D	2012/01/18	2012/01/18	471346		714607	JP1050631736	2007/04/25	1999165.00000	6326603.00000	CORR	2007/03/26	2007/04/25	
BOCHG	D	2012/01/18	2012/01/18	471347		714607	JP1050631736	2007/04/25	1999165.00000	41628.84000	CORR	2007/03/26	2007/04/25	
BOCHG	I	2012/01/18	2012/01/18	471350		714607	JP1050631736	2007/04/25	1999165.00000	4162884.00000	CORR	2007/03/26	2007/04/25	
BOCHG	I	2012/01/18	2012/01/18	471351		714607	JP1050631736	2007/05/30	4162884.00000	6161921.00000	CORR	2007/04/25	2007/05/30	
BOCHG	I	2012/01/18	2012/01/18	471353		714607	JP1050631736	2010/06/30	6161921.00000	7214800.00000	CORR	2007/05/30	2010/06/30	
BOCHG	I	2012/03/20	2012/03/20	496725		714607	JP1050631736	2012/03/20	7214800.00000		REDEM	2010/06/30	2012/03/20	
BOCHG	I	2009/10/21	2009/10/21	188571		714609	JP1050641768	2007/06/26	2162.35000	2162350.00000	CORR	2007/06/25	2007/06/25	
BOCHG	D	2010/09/28	2012/01/18	302580		714609	JP1050641768	2010/06/30	2162350.00000	4481300.00000	CORR	2007/06/25	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471363		714609	JP1050641768	2007/07/25	2162350.00000	4341320.00000	CORR	2007/06/25	2007/07/25	
BOCHG	I	2012/01/18	2012/01/18	471364		714609	JP1050641768	2010/06/30	4341320.00000	4481300.00000	CORR	2007/07/25	2010/06/30	
BOCHG	I	2012/06/20	2012/06/20	544508		714609	JP1050641768	2012/06/20	4481300.00000		REDEM	2010/06/30	2012/06/20	
BOCHG	I	2009/10/20	2009/10/20	188004		838372	JP1050651783	2007/08/28	2191.17900	2191179.00000	CORR	2007/08/27	2007/08/27	
BOCHG	I	2010/09/28	2010/09/28	302581		838372	JP1050651783	2010/06/30	2191179.00000	2261200.00000	CORR	2007/08/27	2010/06/30	
BOCHG	I	2012/06/20	2012/06/20	544517		838372	JP1050651783	2012/06/20	2261200.00000		REDEM	2010/06/30	2012/06/20	
